session_id,start_time,end_time,ip_address,country,language,messages_sent,sentiment,escalated,forwarded_hr,full_transcript,avg_response_time,tokens,tokens_eur,category,initial_msg,user_rating
session_11,2025-03-01 17:38:19,2025-03-01 17:39:19,203.0.113.42,Germany,German,2,Neutral,Yes,Yes,https://chatbotlogs.com/session_26,1.57,152,0.046,General,What should I do if I have a conflict with my manager?,
session_12,2025-03-01 18:30:15,2025-03-01 18:31:15,82.217.56.10,Netherlands,Dutch,2,Positive,Yes,Yes,https://chatbotlogs.com/session_217,2.54,114,0.034,HR,Can I take unpaid leave for personal reasons?,
session_13,2025-03-01 19:58:13,2025-03-01 20:08:13,37.77.184.22,Netherlands,Moroccan Arabic,7,Negative,Yes,Yes,https://chatbotlogs.com/session_252,3.07,469,0.141,IT Support,Who do I talk to about my pension plan options?,5.0
session_14,2025-03-01 20:21:05,2025-03-01 20:30:05,145.75.32.1,Netherlands,Dutch,11,Positive,No,No,https://chatbotlogs.com/session_132,2.99,583,0.175,IT Support,Tell me a joke.,
session_15,2025-03-02 03:56:22,2025-03-02 04:06:22,82.217.56.10,Netherlands,Dutch,10,Neutral,Yes,Yes,https://chatbotlogs.com/session_273,1.54,450,0.135,Scheduling,What should I do if I have a conflict with my manager?,1.0
session_16,2025-03-02 05:43:38,2025-03-02 05:53:38,82.217.56.10,Netherlands,Dutch,7,Negative,Yes,Yes,https://chatbotlogs.com/session_258,3.48,301,0.09,Scheduling,What is the process for requesting disability accommodations?,1.0
session_17,2025-03-02 08:59:30,2025-03-02 09:00:30,82.217.56.10,Netherlands,Turkish,2,Positive,No,No,https://chatbotlogs.com/session_211,2.21,80,0.024,IT Support,How do I request leave?,5.0
session_18,2025-03-02 09:46:33,2025-03-02 09:55:33,82.217.56.10,Netherlands,Polish,11,Positive,Yes,Yes,https://chatbotlogs.com/session_276,1.7,671,0.201,Scheduling,How do I file a workplace harassment complaint?,2.0
session_19,2025-03-02 10:20:56,2025-03-02 10:21:56,37.77.184.22,Netherlands,Turkish,1,Positive,No,No,https://chatbotlogs.com/session_134,2.07,76,0.023,Scheduling,What are the company policies?,
session_20,2025-03-02 11:20:52,2025-03-02 11:21:52,82.217.56.10,Netherlands,Dutch,1,Neutral,Yes,No,https://chatbotlogs.com/session_47,3.05,71,0.021,Scheduling,Why is the sky blue?,
session_21,2025-03-02 11:41:34,2025-03-02 11:51:34,145.75.32.1,Netherlands,Dutch,10,Positive,No,No,https://chatbotlogs.com/session_164,2.28,710,0.213,IT Support,What are the sick leave policies?,2.0
session_22,2025-03-02 12:12:35,2025-03-02 12:13:35,37.77.184.22,Netherlands,Dutch,1,Positive,No,No,https://chatbotlogs.com/session_234,2.04,49,0.015,Scheduling,How do I request leave?,
session_23,2025-03-02 13:01:11,2025-03-02 13:02:11,145.75.32.1,Netherlands,Polish,2,Positive,No,No,https://chatbotlogs.com/session_277,3.24,88,0.026,Scheduling,How do I access my payslip?,5.0
session_24,2025-03-02 15:16:19,2025-03-02 15:25:19,145.75.32.1,Netherlands,Dutch,10,Neutral,No,No,https://chatbotlogs.com/session_150,3.22,660,0.198,Scheduling,How do I access my payslip?,4.0
session_25,2025-03-02 15:30:09,2025-03-02 15:31:09,37.77.184.22,Netherlands,Dutch,1,Positive,No,No,https://chatbotlogs.com/session_235,1.92,57,0.017,Scheduling,Can I request more hours?,3.0
session_26,2025-03-02 15:52:12,2025-03-02 16:02:12,82.217.56.10,Netherlands,Dutch,9,Positive,Yes,Yes,https://chatbotlogs.com/session_124,2.03,693,0.208,Scheduling,What is the process for requesting disability accommodations?,
session_27,2025-03-02 16:31:42,2025-03-02 16:41:42,145.75.32.1,Netherlands,Dutch,9,Positive,Yes,No,https://chatbotlogs.com/session_24,2.77,450,0.135,Personal,How do I become a millionaire overnight?,
session_28,2025-03-02 16:38:14,2025-03-02 16:39:14,203.0.113.42,Germany,Spanish,2,Positive,No,No,https://chatbotlogs.com/session_68,2.43,146,0.044,Personal,How do I swap shifts?,4.0
session_29,2025-03-02 17:19:37,2025-03-02 17:20:37,145.75.32.1,Netherlands,Dutch,2,Positive,Yes,Yes,https://chatbotlogs.com/session_17,3.16,152,0.046,Scheduling,How do I dispute an incorrect payroll deduction?,2.0
session_30,2025-03-02 19:45:35,2025-03-02 19:46:35,82.217.56.10,Netherlands,Dutch,2,Positive,Yes,Yes,https://chatbotlogs.com/session_246,3.4,106,0.032,IT Support,What are my legal rights if I am terminated?,
session_31,2025-03-02 22:12:38,2025-03-02 22:21:38,37.77.184.22,Netherlands,Moroccan Arabic,6,Positive,No,No,https://chatbotlogs.com/session_243,2.58,474,0.142,Scheduling,Who do I contact for IT help?,4.0
session_32,2025-03-03 10:21:02,2025-03-03 10:30:02,102.54.23.11,Spain,Spanish,9,Positive,No,No,https://chatbotlogs.com/session_208,2.84,621,0.186,Scheduling,How do I swap shifts?,4.0
session_33,2025-03-03 12:53:27,2025-03-03 12:54:27,37.77.184.22,Netherlands,Dutch,1,Positive,No,No,https://chatbotlogs.com/session_235,1.92,71,0.021,Scheduling,Can I request more hours?,4.0
session_34,2025-03-03 12:56:31,2025-03-03 13:05:31,82.217.56.10,Netherlands,Dutch,8,Positive,Yes,Yes,https://chatbotlogs.com/session_98,2.79,320,0.096,General,Can I request a salary adjustment based on performance?,2.0
session_35,2025-03-03 13:41:44,2025-03-03 13:50:44,145.75.32.1,Netherlands,Dutch,8,Positive,Yes,Yes,https://chatbotlogs.com/session_161,2.95,328,0.098,Scheduling,How do I dispute an incorrect payroll deduction?,
session_36,2025-03-03 14:51:04,2025-03-03 15:00:04,82.217.56.10,Netherlands,Dutch,11,Positive,No,No,https://chatbotlogs.com/session_91,1.91,836,0.251,General,Why can’t I log in?,4.0
session_37,2025-03-03 15:18:36,2025-03-03 15:27:36,82.217.56.10,Netherlands,Polish,8,Positive,Yes,No,https://chatbotlogs.com/session_276,1.7,448,0.134,HR,Can I bring my pet to work?,2.0
session_38,2025-03-03 15:26:43,2025-03-03 15:36:43,37.77.184.22,Netherlands,Turkish,11,Positive,Yes,Yes,https://chatbotlogs.com/session_75,2.25,660,0.198,General,Can I take unpaid leave for personal reasons?,
session_39,2025-03-03 15:52:03,2025-03-03 15:53:03,37.77.184.22,Netherlands,Dutch,1,Positive,No,No,https://chatbotlogs.com/session_21,2.15,69,0.021,Personal,How do I request leave?,1.0
session_40,2025-03-03 17:43:02,2025-03-03 17:52:02,82.217.56.10,Netherlands,Dutch,8,Positive,No,No,https://chatbotlogs.com/session_151,1.79,344,0.103,Scheduling,When do I get paid?,5.0
session_41,2025-03-03 19:52:46,2025-03-03 20:02:46,145.75.32.1,Netherlands,Dutch,6,Positive,Yes,Yes,https://chatbotlogs.com/session_225,3.31,264,0.079,IT Support,Can I request a salary adjustment based on performance?,5.0
session_42,2025-03-03 20:19:41,2025-03-03 20:29:41,37.77.184.22,Netherlands,Polish,6,Positive,No,No,https://chatbotlogs.com/session_42,2.64,330,0.099,Personal,How do I reset my password?,
session_43,2025-03-04 02:05:17,2025-03-04 02:14:17,37.77.184.22,Netherlands,Dutch,9,Positive,Yes,Yes,https://chatbotlogs.com/session_54,2.19,441,0.132,Scheduling,What are my legal rights if I am terminated?,1.0
session_44,2025-03-04 08:14:58,2025-03-04 08:23:58,82.217.56.10,Netherlands,Turkish,8,Positive,Yes,Yes,https://chatbotlogs.com/session_57,3.0,584,0.175,Personal,Can I take unpaid leave for personal reasons?,
session_45,2025-03-04 09:06:59,2025-03-04 09:15:59,37.77.184.22,Netherlands,Dutch,6,Positive,Yes,No,https://chatbotlogs.com/session_144,1.7,468,0.14,Scheduling,Is coffee better than tea?,
session_46,2025-03-04 11:07:35,2025-03-04 11:16:35,145.75.32.1,Netherlands,Dutch,6,Negative,No,No,https://chatbotlogs.com/session_120,2.42,288,0.086,HR,How's the weather?,3.0
session_47,2025-03-04 15:12:08,2025-03-04 15:21:08,37.77.184.22,Netherlands,Dutch,11,Positive,Yes,No,https://chatbotlogs.com/session_168,2.55,682,0.205,Scheduling,Can you tell me a secret?,3.0
session_48,2025-03-04 16:01:14,2025-03-04 16:10:14,145.75.32.1,Netherlands,Dutch,11,Positive,No,No,https://chatbotlogs.com/session_7,3.38,605,0.182,IT Support,How do I contact HR?,
session_49,2025-03-04 19:31:35,2025-03-04 19:41:35,145.75.32.1,Netherlands,Turkish,8,Positive,Yes,No,https://chatbotlogs.com/session_36,3.01,360,0.108,General,Can I bring my pet to work?,1.0
session_50,2025-03-05 05:29:01,2025-03-05 05:38:01,82.217.56.10,Netherlands,Dutch,9,Negative,No,No,https://chatbotlogs.com/session_147,3.29,657,0.197,Scheduling,How do I request leave?,5.0
session_51,2025-03-05 08:52:02,2025-03-05 08:53:02,82.217.56.10,Netherlands,Dutch,2,Negative,Yes,No,https://chatbotlogs.com/session_78,2.8,150,0.045,Scheduling,What is the meaning of life?,
session_52,2025-03-05 09:10:47,2025-03-05 09:19:47,145.75.32.1,Netherlands,Turkish,9,Neutral,Yes,No,https://chatbotlogs.com/session_149,3.2,495,0.149,IT Support,Is coffee better than tea?,
session_53,2025-03-05 09:29:18,2025-03-05 09:39:18,37.77.184.22,Netherlands,Dutch,11,Positive,No,No,https://chatbotlogs.com/session_100,1.63,649,0.195,IT Support,How do I reset my password?,
session_54,2025-03-05 14:52:22,2025-03-05 15:01:22,37.77.184.22,Netherlands,Dutch,7,Positive,No,No,https://chatbotlogs.com/session_240,2.75,490,0.147,IT Support,How do I access my payslip?,
session_55,2025-03-05 15:10:50,2025-03-05 15:20:50,145.75.32.1,Netherlands,Dutch,5,Positive,Yes,Yes,https://chatbotlogs.com/session_17,3.16,305,0.092,Scheduling,How do I dispute an incorrect payroll deduction?,2.0
session_56,2025-03-05 15:31:47,2025-03-05 15:40:47,203.0.113.42,Germany,French,7,Positive,Yes,No,https://chatbotlogs.com/session_281,2.17,490,0.147,Scheduling,How do I get infinite vacation days?,1.0
session_57,2025-03-05 15:55:13,2025-03-05 16:05:13,145.75.32.1,Netherlands,Dutch,6,Neutral,No,No,https://chatbotlogs.com/session_164,2.28,456,0.137,IT Support,What are the sick leave policies?,1.0
session_58,2025-03-05 17:05:16,2025-03-05 17:06:16,82.217.56.10,Netherlands,Dutch,1,Positive,No,No,https://chatbotlogs.com/session_94,2.17,46,0.014,HR,When do I get paid?,1.0
session_59,2025-03-05 17:07:04,2025-03-05 17:16:04,145.75.32.1,Netherlands,Polish,6,Positive,Yes,No,https://chatbotlogs.com/session_184,1.8,408,0.122,IT Support,Can I work from the moon?,5.0
session_60,2025-03-05 18:04:33,2025-03-05 18:05:33,145.75.32.1,Netherlands,Dutch,1,Positive,Yes,Yes,https://chatbotlogs.com/session_128,2.14,70,0.021,Scheduling,How do I report discrimination in the workplace?,
session_61,2025-03-05 18:18:46,2025-03-05 18:19:46,82.217.56.10,Netherlands,Turkish,2,Positive,Yes,Yes,https://chatbotlogs.com/session_11,2.54,156,0.047,General,How do I file a workplace harassment complaint?,1.0
session_62,2025-03-05 23:58:51,2025-03-06 00:07:51,37.77.184.22,Netherlands,Polish,7,Positive,Yes,Yes,https://chatbotlogs.com/session_209,1.63,413,0.124,Scheduling,How do I report discrimination in the workplace?,
session_63,2025-03-06 07:31:19,2025-03-06 07:32:19,145.75.32.1,Netherlands,Dutch,1,Positive,Yes,Yes,https://chatbotlogs.com/session_207,3.14,45,0.013,Scheduling,Can I request a salary adjustment based on performance?,
session_64,2025-03-06 08:37:23,2025-03-06 08:46:23,145.75.32.1,Netherlands,Dutch,8,Positive,No,No,https://chatbotlogs.com/session_213,2.6,616,0.185,Scheduling,How do I access my payslip?,4.0
session_65,2025-03-06 08:48:19,2025-03-06 08:57:19,145.75.32.1,Netherlands,Dutch,8,Positive,No,No,https://chatbotlogs.com/session_232,2.27,536,0.161,Scheduling,What are the sick leave policies?,5.0
session_66,2025-03-06 09:36:46,2025-03-06 09:37:46,145.75.32.1,Netherlands,Dutch,1,Positive,No,No,https://chatbotlogs.com/session_110,2.7,56,0.017,Scheduling,How do I swap shifts?,4.0
session_67,2025-03-06 11:05:58,2025-03-06 11:06:58,82.217.56.10,Netherlands,Turkish,1,Positive,Yes,Yes,https://chatbotlogs.com/session_57,3.0,51,0.015,Personal,Can I take unpaid leave for personal reasons?,
session_68,2025-03-06 11:11:30,2025-03-06 11:20:30,145.75.32.1,Netherlands,Dutch,10,Positive,No,No,https://chatbotlogs.com/session_90,2.98,580,0.174,Scheduling,Who do I contact for payroll issues?,5.0
session_69,2025-03-06 11:33:59,2025-03-06 11:34:59,37.77.184.22,Netherlands,Dutch,2,Neutral,Yes,No,https://chatbotlogs.com/session_304,2.63,126,0.038,Scheduling,Do we have a time machine in the office?,1.0
session_70,2025-03-06 13:39:46,2025-03-06 13:48:46,37.77.184.22,Netherlands,Dutch,7,Negative,Yes,No,https://chatbotlogs.com/session_201,1.96,301,0.09,IT Support,Why is the sky blue?,1.0
session_71,2025-03-06 14:25:27,2025-03-06 14:34:27,198.51.100.23,Belgium,Spanish,7,Positive,No,No,https://chatbotlogs.com/session_179,1.74,469,0.141,Scheduling,How do I reset my password?,4.0
session_72,2025-03-06 15:59:29,2025-03-06 16:08:29,37.77.184.22,Netherlands,Dutch,6,Positive,Yes,Yes,https://chatbotlogs.com/session_18,2.69,366,0.11,IT Support,What are my legal rights if I am terminated?,
session_73,2025-03-06 17:11:25,2025-03-06 17:20:25,82.217.56.10,Netherlands,Dutch,9,Positive,No,No,https://chatbotlogs.com/session_41,1.9,405,0.122,Scheduling,Who do I contact for IT help?,4.0
session_74,2025-03-06 18:02:13,2025-03-06 18:12:13,82.217.56.10,Netherlands,Dutch,7,Positive,Yes,Yes,https://chatbotlogs.com/session_114,3.11,343,0.103,IT Support,How do I report discrimination in the workplace?,3.0
session_75,2025-03-06 18:10:00,2025-03-06 18:11:00,203.0.113.42,Germany,French,2,Positive,Yes,No,https://chatbotlogs.com/session_281,2.17,80,0.024,Scheduling,How do I get infinite vacation days?,1.0
session_76,2025-03-06 19:53:04,2025-03-06 20:02:04,82.217.56.10,Netherlands,Dutch,10,Neutral,Yes,Yes,https://chatbotlogs.com/session_173,1.59,790,0.237,Scheduling,Who do I talk to about my pension plan options?,5.0
session_77,2025-03-06 22:29:41,2025-03-06 22:30:41,37.77.184.22,Netherlands,Dutch,1,Positive,Yes,No,https://chatbotlogs.com/session_38,3.11,64,0.019,IT Support,Can you tell me a secret?,
session_78,2025-03-07 01:23:07,2025-03-07 01:33:07,145.75.32.1,Netherlands,Polish,5,Neutral,No,No,https://chatbotlogs.com/session_163,2.12,335,0.1,General,How's the weather?,
session_79,2025-03-07 07:03:31,2025-03-07 07:12:31,82.217.56.10,Netherlands,Dutch,11,Positive,No,No,https://chatbotlogs.com/session_241,3.31,869,0.261,Scheduling,Where can I see my schedule?,1.0
session_80,2025-03-07 11:07:55,2025-03-07 11:08:55,145.75.32.1,Netherlands,Dutch,2,Positive,No,No,https://chatbotlogs.com/session_45,1.92,116,0.035,General,What are the company policies?,5.0
session_81,2025-03-07 11:52:52,2025-03-07 11:53:52,82.217.56.10,Netherlands,Dutch,2,Positive,No,No,https://chatbotlogs.com/session_94,2.17,82,0.025,IT Support,When do I get paid?,2.0
session_82,2025-03-07 12:27:03,2025-03-07 12:36:03,145.75.32.1,Netherlands,Dutch,9,Negative,No,No,https://chatbotlogs.com/session_178,2.56,477,0.143,IT Support,Who do I contact for IT help?,
session_83,2025-03-07 12:49:51,2025-03-07 12:50:51,145.75.32.1,Netherlands,Dutch,1,Positive,No,No,https://chatbotlogs.com/session_85,2.38,73,0.022,HR,Why can’t I log in?,2.0
session_84,2025-03-07 13:08:11,2025-03-07 13:18:11,82.217.56.10,Netherlands,Dutch,11,Negative,No,No,https://chatbotlogs.com/session_303,2.13,649,0.195,Scheduling,Can I request more hours?,2.0
session_85,2025-03-07 19:06:49,2025-03-07 19:15:49,82.217.56.10,Netherlands,Dutch,8,Positive,No,No,https://chatbotlogs.com/session_230,3.44,536,0.161,IT Support,Why can’t I log in?,
session_86,2025-03-08 03:04:32,2025-03-08 03:05:32,37.77.184.22,Netherlands,Dutch,2,Positive,Yes,No,https://chatbotlogs.com/session_168,2.55,102,0.031,Scheduling,Can you tell me a secret?,3.0
session_87,2025-03-08 06:40:17,2025-03-08 06:49:17,37.77.184.22,Netherlands,Polish,9,Positive,Yes,Yes,https://chatbotlogs.com/session_209,1.63,612,0.184,Scheduling,How do I report discrimination in the workplace?,
session_88,2025-03-08 10:28:41,2025-03-08 10:37:41,145.75.32.1,Netherlands,Dutch,11,Positive,Yes,No,https://chatbotlogs.com/session_157,2.95,836,0.251,Scheduling,Can I bring my pet to work?,1.0
session_89,2025-03-08 10:52:32,2025-03-08 11:02:32,82.217.56.10,Netherlands,Turkish,9,Positive,Yes,Yes,https://chatbotlogs.com/session_11,2.54,603,0.181,Personal,What are my legal rights if I am terminated?,
session_90,2025-03-08 11:23:43,2025-03-08 11:33:43,145.75.32.1,Netherlands,Dutch,7,Positive,Yes,Yes,https://chatbotlogs.com/session_300,3.48,448,0.134,Scheduling,Can I request a salary adjustment based on performance?,4.0
session_91,2025-03-08 11:30:25,2025-03-08 11:39:25,37.77.184.22,Netherlands,Dutch,10,Negative,No,No,https://chatbotlogs.com/session_155,1.84,440,0.132,IT Support,Can I request more hours?,
session_92,2025-03-08 11:43:27,2025-03-08 11:52:27,82.217.56.10,Netherlands,Dutch,7,Positive,Yes,Yes,https://chatbotlogs.com/session_78,2.8,462,0.139,HR,What should I do if I have a conflict with my manager?,4.0
session_93,2025-03-08 12:46:39,2025-03-08 12:47:39,82.217.56.10,Netherlands,Dutch,2,Positive,Yes,No,https://chatbotlogs.com/session_82,2.18,86,0.026,HR,Can you tell me a secret?,
session_94,2025-03-08 13:40:02,2025-03-08 13:49:02,192.168.1.1,Netherlands,Spanish,9,Positive,Yes,No,https://chatbotlogs.com/session_254,2.68,594,0.178,Personal,Do we have a time machine in the office?,1.0
session_95,2025-03-09 10:20:51,2025-03-09 10:21:51,82.217.56.10,Netherlands,Moroccan Arabic,1,Neutral,Yes,No,https://chatbotlogs.com/session_189,3.3,71,0.021,Scheduling,How do I get infinite vacation days?,2.0
session_96,2025-03-09 11:38:54,2025-03-09 11:47:54,37.77.184.22,Netherlands,Turkish,7,Neutral,No,No,https://chatbotlogs.com/session_172,1.82,518,0.155,HR,How do I reset my password?,3.0
session_97,2025-03-09 21:27:41,2025-03-09 21:36:41,37.77.184.22,Netherlands,Dutch,6,Positive,No,No,https://chatbotlogs.com/session_79,3.15,438,0.131,IT Support,How do I request leave?,
session_98,2025-03-10 04:47:50,2025-03-10 04:56:50,37.77.184.22,Netherlands,Turkish,7,Positive,Yes,Yes,https://chatbotlogs.com/session_75,2.25,441,0.132,General,Can I take unpaid leave for personal reasons?,
session_99,2025-03-10 07:02:21,2025-03-10 07:03:21,37.77.184.22,Netherlands,Dutch,2,Positive,No,No,https://chatbotlogs.com/session_80,3.33,134,0.04,Personal,What are the sick leave policies?,3.0
session_100,2025-03-10 07:06:08,2025-03-10 07:15:08,82.217.56.10,Netherlands,Dutch,11,Positive,Yes,No,https://chatbotlogs.com/session_158,3.37,638,0.191,Scheduling,Why is the sky blue?,
session_101,2025-03-10 08:38:57,2025-03-10 08:39:57,82.217.56.10,Netherlands,Dutch,2,Positive,Yes,No,https://chatbotlogs.com/session_35,3.42,132,0.04,General,Do we have a time machine in the office?,1.0
session_102,2025-03-10 09:08:54,2025-03-10 09:17:54,145.75.32.1,Netherlands,Dutch,6,Positive,Yes,No,https://chatbotlogs.com/session_180,3.2,450,0.135,Scheduling,How do I become a millionaire overnight?,
session_103,2025-03-10 10:17:06,2025-03-10 10:27:06,145.75.32.1,Netherlands,Dutch,5,Positive,No,No,https://chatbotlogs.com/session_229,2.04,235,0.07,Scheduling,How do I request leave?,5.0
session_104,2025-03-10 13:18:39,2025-03-10 13:27:39,145.75.32.1,Netherlands,Moroccan Arabic,6,Positive,Yes,No,https://chatbotlogs.com/session_196,2.37,294,0.088,Scheduling,Can you tell me a secret?,
session_105,2025-03-10 15:24:45,2025-03-10 15:25:45,198.51.100.23,Belgium,Spanish,2,Positive,No,No,https://chatbotlogs.com/session_179,1.74,158,0.047,Scheduling,How do I reset my password?,4.0
session_106,2025-03-10 16:58:41,2025-03-10 16:59:41,37.77.184.22,Netherlands,Dutch,1,Positive,No,No,https://chatbotlogs.com/session_3,1.62,45,0.013,Scheduling,How do I contact HR?,1.0
session_107,2025-03-10 20:43:28,2025-03-10 20:44:28,37.77.184.22,Netherlands,Polish,1,Positive,Yes,No,https://chatbotlogs.com/session_31,3.09,75,0.022,General,How do I get infinite vacation days?,5.0
session_108,2025-03-10 23:11:06,2025-03-10 23:20:06,145.75.32.1,Netherlands,Dutch,11,Negative,Yes,No,https://chatbotlogs.com/session_157,2.95,847,0.254,IT Support,What happens if I never log off?,2.0
session_109,2025-03-11 02:48:17,2025-03-11 02:49:17,145.75.32.1,Netherlands,Dutch,1,Positive,No,No,https://chatbotlogs.com/session_110,2.7,62,0.019,Scheduling,How do I swap shifts?,4.0
session_110,2025-03-11 04:00:42,2025-03-11 04:09:42,37.77.184.22,Netherlands,Moroccan Arabic,11,Positive,Yes,Yes,https://chatbotlogs.com/session_37,1.68,693,0.208,General,How do I report discrimination in the workplace?,2.0
session_111,2025-03-11 05:53:03,2025-03-11 06:02:03,82.217.56.10,Netherlands,Dutch,7,Positive,No,No,https://chatbotlogs.com/session_94,2.17,511,0.153,HR,When do I get paid?,1.0
session_112,2025-03-11 06:50:37,2025-03-11 06:59:37,145.75.32.1,Netherlands,Dutch,5,Negative,No,No,https://chatbotlogs.com/session_193,1.86,295,0.088,IT Support,How do I access my payslip?,4.0
session_113,2025-03-11 10:39:28,2025-03-11 10:48:28,82.217.56.10,Netherlands,Polish,6,Positive,Yes,Yes,https://chatbotlogs.com/session_76,2.94,288,0.086,Scheduling,How do I report discrimination in the workplace?,1.0
session_114,2025-03-11 11:22:28,2025-03-11 11:31:28,145.75.32.1,Netherlands,Dutch,10,Positive,No,No,https://chatbotlogs.com/session_288,2.42,500,0.15,Personal,Why can’t I log in?,2.0
session_115,2025-03-11 11:25:45,2025-03-11 11:35:45,37.77.184.22,Netherlands,Dutch,9,Positive,No,No,https://chatbotlogs.com/session_66,3.34,414,0.124,General,How do I swap shifts?,
session_116,2025-03-11 11:30:55,2025-03-11 11:31:55,82.217.56.10,Netherlands,Dutch,1,Positive,No,No,https://chatbotlogs.com/session_152,3.1,66,0.02,General,What are the sick leave policies?,5.0
session_117,2025-03-11 11:32:18,2025-03-11 11:41:18,37.77.184.22,Netherlands,Dutch,6,Positive,No,No,https://chatbotlogs.com/session_116,2.46,354,0.106,Scheduling,Who do I contact for payroll issues?,1.0
session_118,2025-03-11 12:19:29,2025-03-11 12:28:29,37.77.184.22,Netherlands,Dutch,10,Positive,No,No,https://chatbotlogs.com/session_3,1.62,590,0.177,Scheduling,How do I contact HR?,1.0
session_119,2025-03-11 13:26:25,2025-03-11 13:35:25,145.75.32.1,Netherlands,Dutch,6,Neutral,No,No,https://chatbotlogs.com/session_90,2.98,414,0.124,Personal,Who do I contact for payroll issues?,
session_120,2025-03-11 15:46:05,2025-03-11 15:47:05,37.77.184.22,Netherlands,Dutch,1,Positive,Yes,No,https://chatbotlogs.com/session_84,1.87,75,0.022,Personal,How do I become a millionaire overnight?,4.0
session_121,2025-03-11 16:04:00,2025-03-11 16:05:00,82.217.56.10,Netherlands,Turkish,2,Positive,Yes,Yes,https://chatbotlogs.com/session_11,2.54,82,0.025,Personal,What are my legal rights if I am terminated?,
session_122,2025-03-11 16:16:40,2025-03-11 16:25:40,37.77.184.22,Netherlands,Dutch,7,Positive,Yes,No,https://chatbotlogs.com/session_38,3.11,525,0.158,IT Support,Can you tell me a secret?,
session_123,2025-03-11 20:44:27,2025-03-11 20:53:27,203.0.113.42,Germany,German,9,Neutral,Yes,Yes,https://chatbotlogs.com/session_26,1.57,657,0.197,General,What should I do if I have a conflict with my manager?,
session_124,2025-03-11 20:48:56,2025-03-11 20:49:56,82.217.56.10,Netherlands,Polish,1,Neutral,No,No,https://chatbotlogs.com/session_138,2.7,74,0.022,General,Where is the break room?,4.0
session_125,2025-03-12 00:35:00,2025-03-12 00:45:00,82.217.56.10,Netherlands,Dutch,9,Positive,No,No,https://chatbotlogs.com/session_25,3.14,684,0.205,IT Support,Where is the break room?,5.0
session_126,2025-03-12 01:01:36,2025-03-12 01:10:36,37.77.184.22,Netherlands,Dutch,8,Neutral,No,No,https://chatbotlogs.com/session_108,3.49,440,0.132,Personal,Where can I see my schedule?,
session_127,2025-03-12 06:49:59,2025-03-12 06:58:59,145.75.32.1,Netherlands,Dutch,11,Positive,Yes,Yes,https://chatbotlogs.com/session_123,2.82,693,0.208,IT Support,How do I dispute an incorrect payroll deduction?,3.0
session_128,2025-03-12 07:04:48,2025-03-12 07:05:48,37.77.184.22,Netherlands,Dutch,1,Positive,Yes,Yes,https://chatbotlogs.com/session_34,3.41,76,0.023,Personal,Can I request a salary adjustment based on performance?,1.0
session_129,2025-03-12 07:43:08,2025-03-12 07:44:08,82.217.56.10,Netherlands,Dutch,1,Positive,Yes,No,https://chatbotlogs.com/session_98,2.79,56,0.017,IT Support,What is the meaning of life?,
session_130,2025-03-12 08:07:29,2025-03-12 08:16:29,198.51.100.23,Belgium,English,7,Negative,Yes,Yes,https://chatbotlogs.com/session_56,2.98,399,0.12,General,How do I file an official grievance against a coworker?,3.0
